,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,64517,62634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44886,43789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22848,22465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23520,23073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,62634,64516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44900,43768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22792,22478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23574,23066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,65837,55363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40462,38958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22115,19705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22796,21212,0,0,0,0,0,0,0,0,0,0,0,0,5720,4445,0,0,0,0,0,0,0,0,0,0,0,0,3742,3502,0,0,0,0,0,0,0,0,0,0,0,0,3204,2952,0,0,0,0,0,0,0,0,0,0,0,0,2659,2954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,55363,65825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40749,39317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22410,20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22317,21252,0,0,0,0,0,0,0,0,0,0,0,0,5163,4262,0,0,0,0,0,0,0,0,0,0,0,0,3524,3181,0,0,0,0,0,0,0,0,0,0,0,0,2984,2750,0,0,0,0,0,0,0,0,0,0,0,0,2938,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,64116,54305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39007,37950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21329,19812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22266,21002,0,0,0,0,0,0,0,0,0,0,0,0,4463,3869,0,0,0,0,0,0,0,0,0,0,0,0,3261,2912,0,0,0,0,0,0,0,0,0,0,0,0,2850,2413,0,0,0,0,0,0,0,0,0,0,0,0,2147,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,54305,64134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38982,37865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21051,19853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22438,21108,0,0,0,0,0,0,0,0,0,0,0,0,4714,3910,0,0,0,0,0,0,0,0,0,0,0,0,3369,2822,0,0,0,0,0,0,0,0,0,0,0,0,2986,2456,0,0,0,0,0,0,0,0,0,0,0,0,2175,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,63422,55816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38908,38275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19986,18553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21012,20441,0,0,0,0,0,0,0,0,0,0,0,0,5393,3876,0,0,0,0,0,0,0,0,0,0,0,0,3014,2709,0,0,0,0,0,0,0,0,0,0,0,0,2604,2279,0,0,0,0,0,0,0,0,0,0,0,0,2089,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,55816,63424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38981,38224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20111,18434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21065,20440,0,0,0,0,0,0,0,0,0,0,0,0,5382,3796,0,0,0,0,0,0,0,0,0,0,0,0,3088,2683,0,0,0,0,0,0,0,0,0,0,0,0,2562,2293,0,0,0,0,0,0,0,0,0,0,0,0,2008,2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,62644,52493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37612,37197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19613,17259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19887,19608,0,0,0,0,0,0,0,0,0,0,0,0,5973,4462,0,0,0,0,0,0,0,0,0,0,0,0,3402,2781,0,0,0,0,0,0,0,0,0,0,0,0,3151,2562,0,0,0,0,0,0,0,0,0,0,0,0,2704,2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,52493,62642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37891,37434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20125,17426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19656,19188,0,0,0,0,0,0,0,0,0,0,0,0,5605,4238,0,0,0,0,0,0,0,0,0,0,0,0,3138,2849,0,0,0,0,0,0,0,0,0,0,0,0,3073,2530,0,0,0,0,0,0,0,0,0,0,0,0,2922,3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
