,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,22871,22726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22223,22294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,22726,22870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22286,22228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,21215,17420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17421,17627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062,1138,0,0,0,0,0,0,0,0,0,0,0,0,811,415,0,0,0,0,0,0,0,0,0,0,0,0,377,384,0,0,0,0,0,0,0,0,0,0,0,0,548,253,0,0,0,0,0,0,0,0,0,0,0,0,169,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,17420,21224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17708,17581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3267,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1232,0,0,0,0,0,0,0,0,0,0,0,0,776,324,0,0,0,0,0,0,0,0,0,0,0,0,332,419,0,0,0,0,0,0,0,0,0,0,0,0,461,193,0,0,0,0,0,0,0,0,0,0,0,0,176,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,20926,17072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18001,17720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938,1266,0,0,0,0,0,0,0,0,0,0,0,0,312,248,0,0,0,0,0,0,0,0,0,0,0,0,273,385,0,0,0,0,0,0,0,0,0,0,0,0,500,286,0,0,0,0,0,0,0,0,0,0,0,0,169,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,17072,20935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17639,17552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2149,1339,0,0,0,0,0,0,0,0,0,0,0,0,407,168,0,0,0,0,0,0,0,0,0,0,0,0,214,400,0,0,0,0,0,0,0,0,0,0,0,0,734,474,0,0,0,0,0,0,0,0,0,0,0,0,185,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,20965,16491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17287,17208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488,1862,0,0,0,0,0,0,0,0,0,0,0,0,1017,722,0,0,0,0,0,0,0,0,0,0,0,0,472,386,0,0,0,0,0,0,0,0,0,0,0,0,623,297,0,0,0,0,0,0,0,0,0,0,0,0,165,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,16491,20965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17154,17190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,1807,0,0,0,0,0,0,0,0,0,0,0,0,1050,564,0,0,0,0,0,0,0,0,0,0,0,0,430,378,0,0,0,0,0,0,0,0,0,0,0,0,690,393,0,0,0,0,0,0,0,0,0,0,0,0,200,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,22549,19462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19707,20115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,774,0,0,0,0,0,0,0,0,0,0,0,0,695,438,0,0,0,0,0,0,0,0,0,0,0,0,269,284,0,0,0,0,0,0,0,0,0,0,0,0,361,184,0,0,0,0,0,0,0,0,0,0,0,0,78,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,19462,22541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19688,19940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,798,0,0,0,0,0,0,0,0,0,0,0,0,738,377,0,0,0,0,0,0,0,0,0,0,0,0,329,264,0,0,0,0,0,0,0,0,0,0,0,0,441,173,0,0,0,0,0,0,0,0,0,0,0,0,90,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM10,0,0,0,0,0,0,0,0,0,0,22492,19563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053,20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,814,0,0,0,0,0,0,0,0,0,0,0,0,746,529,0,0,0,0,0,0,0,0,0,0,0,0,286,325,0,0,0,0,0,0,0,0,0,0,0,0,453,199,0,0,0,0,0,0,0,0,0,0,0,0,72,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
