,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,66336,62956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46418,45177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23428,23058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24259,23422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,62956,66330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46499,45143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23386,23034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24263,23437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,61865,50727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39065,35558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21137,18610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23088,21290,0,0,0,0,0,0,0,0,0,0,0,0,4970,3689,0,0,0,0,0,0,0,0,0,0,0,0,2737,2042,0,0,0,0,0,0,0,0,0,0,0,0,2392,1846,0,0,0,0,0,0,0,0,0,0,0,0,1638,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,50727,61879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39151,35584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21002,18700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23094,21078,0,0,0,0,0,0,0,0,0,0,0,0,4989,3751,0,0,0,0,0,0,0,0,0,0,0,0,2732,2216,0,0,0,0,0,0,0,0,0,0,0,0,2503,1851,0,0,0,0,0,0,0,0,0,0,0,0,1592,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,60707,50996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37256,35452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20049,18439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22013,20420,0,0,0,0,0,0,0,0,0,0,0,0,4221,3051,0,0,0,0,0,0,0,0,0,0,0,0,2513,2187,0,0,0,0,0,0,0,0,0,0,0,0,2983,2219,0,0,0,0,0,0,0,0,0,0,0,0,1783,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,50996,60728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37568,35774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20070,18413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21581,20332,0,0,0,0,0,0,0,0,0,0,0,0,4339,2953,0,0,0,0,0,0,0,0,0,0,0,0,2400,2296,0,0,0,0,0,0,0,0,0,0,0,0,2754,1995,0,0,0,0,0,0,0,0,0,0,0,0,1951,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,60821,50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36251,35094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19456,16997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21612,20657,0,0,0,0,0,0,0,0,0,0,0,0,6004,4409,0,0,0,0,0,0,0,0,0,0,0,0,3258,2708,0,0,0,0,0,0,0,0,0,0,0,0,3322,2499,0,0,0,0,0,0,0,0,0,0,0,0,2146,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,50019,60836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35876,34667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19391,17054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21575,20761,0,0,0,0,0,0,0,0,0,0,0,0,5954,4245,0,0,0,0,0,0,0,0,0,0,0,0,3235,2748,0,0,0,0,0,0,0,0,0,0,0,0,3593,2878,0,0,0,0,0,0,0,0,0,0,0,0,2338,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,66119,52443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39008,38195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20351,18202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21858,20595,0,0,0,0,0,0,0,0,0,0,0,0,7396,5664,0,0,0,0,0,0,0,0,0,0,0,0,4350,3674,0,0,0,0,0,0,0,0,0,0,0,0,4674,3707,0,0,0,0,0,0,0,0,0,0,0,0,3358,3778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,52443,66119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39178,37881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20418,18594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21544,20289,0,0,0,0,0,0,0,0,0,0,0,0,7209,5415,0,0,0,0,0,0,0,0,0,0,0,0,4311,3716,0,0,0,0,0,0,0,0,0,0,0,0,4615,3879,0,0,0,0,0,0,0,0,0,0,0,0,3657,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM10,0,0,0,0,0,0,0,0,0,0,65816,55507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39533,38710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19907,17897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21725,20959,0,0,0,0,0,0,0,0,0,0,0,0,7133,5091,0,0,0,0,0,0,0,0,0,0,0,0,4107,2743,0,0,0,0,0,0,0,0,0,0,0,0,3700,2705,0,0,0,0,0,0,0,0,0,0,0,0,2639,2948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM11,0,0,0,0,0,0,0,0,0,0,55507,65834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39565,38719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19993,17968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21335,20931,0,0,0,0,0,0,0,0,0,0,0,0,6981,5098,0,0,0,0,0,0,0,0,0,0,0,0,4010,2887,0,0,0,0,0,0,0,0,0,0,0,0,3658,2873,0,0,0,0,0,0,0,0,0,0,0,0,2721,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM12,0,0,0,0,0,0,0,0,0,0,0,0,64935,53108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38404,37770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18357,17762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20818,20235,0,0,0,0,0,0,0,0,0,0,0,0,5606,4566,0,0,0,0,0,0,0,0,0,0,0,0,3922,3223,0,0,0,0,0,0,0,0,0,0,0,0,3825,3308,0,0,0,0,0,0,0,0,0,0,0,0,3440,4060,0,0,2396,1049,0,0,0,0,0,0,0,0,0,0
SM13,0,0,0,0,0,0,0,0,0,0,0,0,53108,64942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38649,37583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18296,17597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20928,20381,0,0,0,0,0,0,0,0,0,0,0,0,5683,4771,0,0,0,0,0,0,0,0,0,0,0,0,3658,3359,0,0,0,0,0,0,0,0,0,0,0,0,3900,3143,0,0,0,0,0,0,0,0,0,0,0,0,3434,3932,0,0,2363,1081,0,0,0,0,0,0,0,0,0,0
SM14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60899,45832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33476,31604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17514,15708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23341,21780,0,0,0,0,0,0,0,0,0,0,0,0,6428,5090,0,0,0,0,0,0,0,0,0,0,0,0,3560,3570,0,0,0,0,0,0,0,0,0,0,0,0,4509,3362,0,0,0,0,0,0,0,0,0,0,0,0,3151,3821,0,0,2463,1082,0,0,0,0,0,0,0,0
SM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45832,60885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33239,31682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17533,15742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23155,21702,0,0,0,0,0,0,0,0,0,0,0,0,6464,5139,0,0,0,0,0,0,0,0,0,0,0,0,3614,3722,0,0,0,0,0,0,0,0,0,0,0,0,4399,3394,0,0,0,0,0,0,0,0,0,0,0,0,3053,3977,0,0,2502,1088,0,0,0,0,0,0,0,0
SM16,46418,46499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66253,61089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23537,23194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24394,23472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM17,45177,45143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61089,66164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24803,23647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24373,24240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM18,0,0,39065,39151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61083,46604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22187,19845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20937,19888,0,0,0,0,0,0,0,0,0,0,0,0,3849,2873,0,0,0,0,0,0,0,0,0,0,0,0,2370,2412,0,0,0,0,0,0,0,0,0,0,0,0,1998,2184,0,0,0,0,0,0,0,0,0,0,0,0,2796,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM19,0,0,35558,35584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46604,60815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25814,20699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19238,19151,0,0,0,0,0,0,0,0,0,0,0,0,3112,2676,0,0,0,0,0,0,0,0,0,0,0,0,2629,3198,0,0,0,0,0,0,0,0,0,0,0,0,2460,3231,0,0,0,0,0,0,0,0,0,0,0,0,3989,4460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM20,0,0,0,0,37256,37568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59908,47193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22331,19956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20347,19481,0,0,0,0,0,0,0,0,0,0,0,0,3258,2306,0,0,0,0,0,0,0,0,0,0,0,0,2034,2326,0,0,0,0,0,0,0,0,0,0,0,0,2054,2115,0,0,0,0,0,0,0,0,0,0,0,0,2740,3207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
