,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,58546,57916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40140,39735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20281,20093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20182,20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,57916,58546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40176,39725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20274,20085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20183,20187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,59988,53755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37423,36517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19751,18895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18982,18324,0,0,0,0,0,0,0,0,0,0,0,0,2341,2185,0,0,0,0,0,0,0,0,0,0,0,0,2132,2263,0,0,0,0,0,0,0,0,0,0,0,0,1841,1698,0,0,0,0,0,0,0,0,0,0,0,0,1800,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,53755,59991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37927,36965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19900,19054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18511,18362,0,0,0,0,0,0,0,0,0,0,0,0,1968,1858,0,0,0,0,0,0,0,0,0,0,0,0,1990,2136,0,0,0,0,0,0,0,0,0,0,0,0,1521,1494,0,0,0,0,0,0,0,0,0,0,0,0,1972,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,59901,55452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38817,37858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20674,20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20286,19479,0,0,0,0,0,0,0,0,0,0,0,0,1131,897,0,0,0,0,0,0,0,0,0,0,0,0,757,1198,0,0,0,0,0,0,0,0,0,0,0,0,1001,704,0,0,0,0,0,0,0,0,0,0,0,0,721,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,55452,59904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38960,38003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20655,20052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20048,19480,0,0,0,0,0,0,0,0,0,0,0,0,1049,903,0,0,0,0,0,0,0,0,0,0,0,0,772,1348,0,0,0,0,0,0,0,0,0,0,0,0,932,605,0,0,0,0,0,0,0,0,0,0,0,0,686,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,59806,55115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37983,37496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19814,19092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19904,19392,0,0,0,0,0,0,0,0,0,0,0,0,2192,1713,0,0,0,0,0,0,0,0,0,0,0,0,1477,1517,0,0,0,0,0,0,0,0,0,0,0,0,1226,832,0,0,0,0,0,0,0,0,0,0,0,0,922,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,55115,59805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37935,37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19773,19067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19989,19370,0,0,0,0,0,0,0,0,0,0,0,0,2243,1728,0,0,0,0,0,0,0,0,0,0,0,0,1528,1515,0,0,0,0,0,0,0,0,0,0,0,0,1236,799,0,0,0,0,0,0,0,0,0,0,0,0,896,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,59909,53846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36153,36134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18023,16502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18693,18506,0,0,0,0,0,0,0,0,0,0,0,0,4780,3800,0,0,0,0,0,0,0,0,0,0,0,0,3072,2458,0,0,0,0,0,0,0,0,0,0,0,0,2217,1904,0,0,0,0,0,0,0,0,0,0,0,0,1697,2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,53846,59908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37113,36927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18872,17287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18166,17842,0,0,0,0,0,0,0,0,0,0,0,0,3784,2974,0,0,0,0,0,0,0,0,0,0,0,0,2250,1810,0,0,0,0,0,0,0,0,0,0,0,0,1788,1944,0,0,0,0,0,0,0,0,0,0,0,0,2384,2921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
