,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,20000,19977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19620,19957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,19977,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19641,19938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,20000,17552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18576,17059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,450,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,17552,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18970,19507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,118,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,20000,17909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19008,19142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,23,465,0,0,0,0,0,0,0,0,0,0,0,0,3,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,17909,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18897,17053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,251,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,20000,17261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18302,19229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,500,0,0,0,0,0,0,0,0,0,0,0,0,273,979,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,376,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,17261,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18929,16496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,611,0,0,0,0,0,0,0,0,0,0,0,0,458,3,0,0,0,0,0,0,0,0,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,20000,17709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18388,17072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2197,778,0,0,0,0,0,0,0,0,0,0,0,0,1343,350,0,0,0,0,0,0,0,0,0,0,0,0,442,90,0,0,0,0,0,0,0,0,0,0,0,0,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,17709,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19189,19363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,23,0,0,0,0,0,0,0,0,0,0,0,0,12,69,0,0,0,0,0,0,0,0,0,0,0,0,40,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
